                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.65426,                0.44799,                0.93166,                0.81637,                0.83824,                0.87347,                0.49524,                 1.5723,                0.88501,                 1.4946,               0.004588,               0.004588,               0.004588
                     84,                0.64207,                0.43231,                0.91219,                0.93177,                0.80342,                0.85608,                0.49429,                 1.5607,                0.84625,                 1.4818,               0.004522,               0.004522,               0.004522
                     85,                0.66913,                0.44317,                0.93159,                0.89147,                0.79412,                0.86556,                0.48655,                 1.5681,                0.84546,                 1.4814,               0.004456,               0.004456,               0.004456
                     86,                0.63896,                0.43306,                0.92375,                0.86328,                0.83571,                0.88137,                0.50083,                 1.5451,                0.85349,                 1.4635,                0.00439,                0.00439,                0.00439
                     87,                0.62928,                  0.434,                0.90734,                0.83608,                0.82509,                0.86774,                0.48494,                 1.5951,                0.87252,                 1.5275,               0.004324,               0.004324,               0.004324
                     88,                0.64526,                0.41693,                0.91838,                0.91319,                0.82353,                 0.8877,                0.47145,                 1.6514,                0.89725,                 1.5655,               0.004258,               0.004258,               0.004258
                     89,                0.61481,                 0.4083,                0.90533,                0.96539,                0.82053,                0.90185,                0.49199,                 1.5742,                0.83571,                 1.5241,               0.004192,               0.004192,               0.004192
                     90,                0.61111,                0.42193,                0.90584,                 0.8739,                0.82353,                0.89907,                0.48772,                 1.5895,                0.87456,                 1.4814,               0.004126,               0.004126,               0.004126
                     91,                0.62122,                0.41701,                0.90331,                0.87885,                0.85345,                0.92773,                0.49998,                 1.6086,                0.83813,                 1.5449,                0.00406,                0.00406,                0.00406
                     92,                0.62203,                0.42005,                0.91531,                0.88226,                0.80882,                 0.8567,                0.49266,                 1.5685,                0.86792,                  1.533,               0.003994,               0.003994,               0.003994
                     93,                 0.6095,                0.41348,                0.91509,                0.90288,                0.82031,                0.85179,                0.48199,                 1.5496,                0.81557,                 1.5621,               0.003928,               0.003928,               0.003928
                     94,                0.60117,                0.40735,                0.90812,                0.87322,                0.82353,                0.86783,                0.49012,                 1.5555,                0.78861,                 1.5542,               0.003862,               0.003862,               0.003862
                     95,                 0.5893,                0.40219,                0.90369,                0.91573,                0.79911,                 0.8578,                0.46674,                  1.598,                0.85766,                 1.5623,               0.003796,               0.003796,               0.003796
                     96,                0.58789,                0.39327,                0.89454,                0.94999,                0.83813,                0.91178,                 0.5008,                 1.5677,                0.81981,                 1.5336,                0.00373,                0.00373,                0.00373
